name,image,description,category,rarity,classification,ac,damage,damage_type,properties,cost
Block and Tackle,,"A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift. ",ADVENTURING_GEAR,COMMON,,,,,,100
Book,,"A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures.",ADVENTURING_GEAR,COMMON,,,,,,2500
"Bottle, Glass",,Capacity: 1.5 pints of liquid,ADVENTURING_GEAR,COMMON,,,,,,200
Bucket,bucket,"Capacity: 3 gallons liquid, 1/2 cubic foot solid ",ADVENTURING_GEAR,COMMON,,,,,,5
Caltrops (bag of 20),,"As an action, you can spread a bag of caltrops to cover a square area that is 5 feet on a side. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving this turn and take 1 piercing damage. Taking this damage reduces the creature's walking speed by 10 feet until the creature regains at least 1 hit point. A creature moving through the area at half speed doesn't need to make the save. ",ADVENTURING_GEAR,COMMON,,,,,,100
Candle,candle,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet. ",ADVENTURING_GEAR,COMMON,,,,,,1
"Case, Crossbow Bolt",,This wooden case can hold up to twenty crossbow bolts. ,ADVENTURING_GEAR,COMMON,,,,,,100
"Case, Map or Scroll",,This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.,ADVENTURING_GEAR,COMMON,,,,,,100
Chain (10 feet),,A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.,ADVENTURING_GEAR,COMMON,,,,,,500
Chalk (1 piece),,,ADVENTURING_GEAR,COMMON,,,,,,1
Chest,,Capacity: 12 cubic feet/300 pounds of gear ,ADVENTURING_GEAR,COMMON,,,,,,500
Climber's Kit,,"A climber's kit includes special pitons, boot tips, gloves, and a harness. You can use the climber's kit as an action to anchor yourself; when you do, you can't fall more than 25 feet from the point where you anchored yourself, and you can't climb more than 25 feet away from that point without undoing the anchor. ",ADVENTURING_GEAR,COMMON,,,,,,2500
"Clothes, Common",,,ADVENTURING_GEAR,COMMON,,,,,,50
"Clothes, Costume",,,ADVENTURING_GEAR,COMMON,,,,,,500
"Clothes, Fine",,,ADVENTURING_GEAR,COMMON,,,,,,1500
"Clothes, Traveler's",,,ADVENTURING_GEAR,COMMON,,,,,,200
Component Pouch,,"A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description). ",ADVENTURING_GEAR,COMMON,,,,,,2500
Crowbar,,Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied. ,ADVENTURING_GEAR,COMMON,,,,,,200
"Druidic Focus, Sprig of Mistletoe",,"A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus. ",ADVENTURING_GEAR,COMMON,,,,,,100
"Druidic Focus, Totem",,"A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus. ",ADVENTURING_GEAR,COMMON,,,,,,100
"Druidic Focus, Wooden Staff",staff,"A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus. ",ADVENTURING_GEAR,COMMON,,,,,,500
"Druidic Focus, Yew Wand",wand,"A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus. ",ADVENTURING_GEAR,COMMON,,,,,,1000
Fishing Tackle,,"This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting. ",ADVENTURING_GEAR,COMMON,,,,,,100
Flask,,Capacity: 1 pint liquid,ADVENTURING_GEAR,COMMON,,,,,,2
Tankard,,Capacity: 1 pint liquid,ADVENTURING_GEAR,COMMON,,,,,,2
Grappling Hook,,,ADVENTURING_GEAR,COMMON,,,,,,200
Hammer,,,ADVENTURING_GEAR,COMMON,,,,,,100
"Hammer, Sledge",,,ADVENTURING_GEAR,COMMON,,,,,,200
Healer's Kit,,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check. ",ADVENTURING_GEAR,COMMON,,,,,,500
"Holy Symbol, Amulet",,"A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. Appendix PH-B ""Fantasy-Historical Pantheons"" lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",ADVENTURING_GEAR,COMMON,,,,,,500
"Holy Symbol, Emblem",,"A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. Appendix PH-B ""Fantasy-Historical Pantheons"" lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",ADVENTURING_GEAR,COMMON,,,,,,500
"Holy Symbol, Reliquary",,"A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. Appendix PH-B ""Fantasy-Historical Pantheons"" lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",ADVENTURING_GEAR,COMMON,,,,,,500
Holy Water (flask),,"As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage.  A cleric or paladin may create holy water by performing a special ritual. The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot. ",ADVENTURING_GEAR,COMMON,,,,,,2500
Hourglass,,,ADVENTURING_GEAR,COMMON,,,,,,2500
Hunting Trap,,"When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature. ",ADVENTURING_GEAR,COMMON,,,,,,500
Ink (1 ounce bottle),,,ADVENTURING_GEAR,COMMON,,,,,,1000
Ink Pen,,,ADVENTURING_GEAR,COMMON,,,,,,2
Jug,mug,Capacity: 1 gallon liquid,ADVENTURING_GEAR,COMMON,,,,,,2
Pitcher,mug,Capacity: 1 gallon liquid,ADVENTURING_GEAR,COMMON,,,,,,2
Lamp,,"A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",ADVENTURING_GEAR,COMMON,,,,,,50
"Lantern, Bullseye",lantern,"A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. ",ADVENTURING_GEAR,COMMON,,,,,,1000
"Lantern, Hooded",lantern,"A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius. ",ADVENTURING_GEAR,COMMON,,,,,,500
Lock,,"A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your GM may decide that better locks are available for higher prices. ",ADVENTURING_GEAR,COMMON,,,,,,1000
Magnifying Glass,,"This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed. ",ADVENTURING_GEAR,COMMON,,,,,,10000
Manacles,manacles,"These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with thieves' tools can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points. ",ADVENTURING_GEAR,COMMON,,,,,,200
Mess Kit,,"This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl. ",ADVENTURING_GEAR,COMMON,,,,,,20
"Mirror, Steel",,,ADVENTURING_GEAR,COMMON,,,,,,500
Oil (flask),,"Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn. ",ADVENTURING_GEAR,COMMON,,,,,,10
Paper (one sheet),paper,,ADVENTURING_GEAR,COMMON,,,,,,20
Parchment (one sheet),,,ADVENTURING_GEAR,COMMON,,,,,,10
Perfume (vial),,,ADVENTURING_GEAR,COMMON,,,,,,500
"Pick, Miner's",,,ADVENTURING_GEAR,COMMON,,,,,,200
Piton,,,ADVENTURING_GEAR,COMMON,,,,,,5
"Poison, Basic (vial)",,"You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying. ",ADVENTURING_GEAR,COMMON,,,,,,10000
Pole (10-foot),,,ADVENTURING_GEAR,COMMON,,,,,,5
"Pot, Iron",,Capacity: 1 gallon liquid,ADVENTURING_GEAR,COMMON,,,,,,200
Pouch,,"Capacity: 1/5 cubic foot/6 pounds of gear. A cloth or leather pouch can hold up to 20 sling bullets or 50 blowgun needles, among other things. A compartmentalized pouch for holding spell components is called a component pouch (described earlier in this section). ",ADVENTURING_GEAR,COMMON,,,,,,50
Quiver,,A quiver can hold up to 20 arrows. ,ADVENTURING_GEAR,COMMON,,,,,,100
"Ram, Portable",,"You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check.",ADVENTURING_GEAR,COMMON,,,,,,400
Rations (1 day),,"Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts. ",ADVENTURING_GEAR,COMMON,,,,,,50
Robes,,,ADVENTURING_GEAR,COMMON,,,,,,100
"Rope, Hempen (50 feet)",rope,"Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check.",ADVENTURING_GEAR,COMMON,,,,,,100
"Rope, Silk (50 feet)",rope,"Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check. ",ADVENTURING_GEAR,COMMON,,,,,,1000
Sack,,Capacity: 1 cubic foot/30 pounds of gear ,ADVENTURING_GEAR,COMMON,,,,,,1
"Scale, Merchant's",,"A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth. ",ADVENTURING_GEAR,COMMON,,,,,,500
Sealing Wax,candle,,ADVENTURING_GEAR,COMMON,,,,,,40
Shovel,,,ADVENTURING_GEAR,COMMON,,,,,,200
Signal Whistle,,,ADVENTURING_GEAR,COMMON,,,,,,5
Signet Ring,,,ADVENTURING_GEAR,COMMON,,,,,,500
Soap,,,ADVENTURING_GEAR,COMMON,,,,,,2
Spellbook,,"Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells.",ADVENTURING_GEAR,COMMON,,,,,,5000
"Spikes, Iron (10)",,,ADVENTURING_GEAR,COMMON,,,,,,100
Spyglass,,Objects viewed through a spyglass are magnified to twice their size. ,ADVENTURING_GEAR,RARE,,,,,,100000
"Tent, two-person",,A simple and portable canvas shelter suitable for 2 persons,ADVENTURING_GEAR,COMMON,,,,,,200
Tinderbox,,"This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch–or anything else with abundant, exposed fuel–takes an action. Lighting any other fire takes 1 minute. ",ADVENTURING_GEAR,COMMON,,,,,,50
Torch,torch,"A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage. ",ADVENTURING_GEAR,COMMON,,,,,,1
Vial,,Capacity: 4 ounces of liquid,ADVENTURING_GEAR,COMMON,,,,,,100
Waterskin,,Capacity: 4 pints of liquid,ADVENTURING_GEAR,COMMON,,,,,,20
Whetstone,,A sharpening stone used to sharpen knives and other cutting tools,ADVENTURING_GEAR,COMMON,,,,,,1
Alchemist's supplies,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,5000
Brewer's supplies,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,2000
Calligrapher's supplies,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,1000
Carpenter's tools,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,800
Cartographer's tools,cartographers-tools,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,1500
Cobbler's tools,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,500
Cook's utensils,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,100
Glassblower's tools,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,3000
Jeweler's tools,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,2500
Leatherworker's tools,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,500
Mason's tools,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,1000
Painter's supplies,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,1000
Potter's tools,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,1000
Smith's tools,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,2000
Tinker's tools,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,5000
Weaver's tools,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,10
Woodcarver's tools  ,,These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency. ,TOOLS,COMMON,,,,,,100
Disguise Kit,,"This pouch of cosmetics, hair dye, and small props lets you create disguises that change your physical appearance. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a visual disguise. ",TOOLS,COMMON,,,,,,2500
